session_id,project_id,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
34034,1,1,31105,female,guest,28.2,current,1,1,1,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,past,2,2,1,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,name,3,3,Ruby,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,good,4,4,7,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,country,5,5,BG,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,text,923,7,"Double syllable names are best for dogs. One syllable like ""max"" does not contain enough notage/sound to engage the proper response. I do not know where borzois orginate...  I assume eastern europe. Dogs can tell our emotions by tone and body language just like we can tell what type of bark they are barking.",2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,good_borzoi,355,6,32,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34104,1,1,31164,male,registered,19.4,current,1,1,1,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,past,2,2,1,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,name,3,3,steven,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,good,4,4,6,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,country,5,5,FR,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,text,923,7,dogs are good.,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,time,92823416,8,18:00,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,good_borzoi,355,6,3,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34326,1,1,31392,female,guest,17,current,1,1,0,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,past,2,2,0,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,name,3,3,Cat,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,good,4,4,7,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,country,5,5,DZ,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,text,923,7,I LOVE dogs,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,time,92823416,8,08:34,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,good_borzoi,355,6,99,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34343,1,1,31397,male,guest,22,current,1,1,1,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,past,2,2,1,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,name,3,3,Dukee,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,good,4,4,7,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,country,5,5,HU,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,text,923,7,Cool as fuck,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,time,92823416,8,09:26,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,good_borzoi,355,6,43,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34765,1,1,31770,female,guest,44,current,1,1,1,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,past,2,2,1,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,name,3,3,NA,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,good,4,4,4,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
